name,date,significance_en,significance_mr,significance_hi,tips_en,tips_mr,tips_hi
Shravan Somvar,2026-09-07,Fourth and final Monday of Shravan (Amavasyant Maharashtra); the last Shravan Somvar completes the sacred month's devotional cycle; families traditionally perform a closing Shiva puja and distribute prasad to all in the household and neighbors,श्रावणातील चौथा आणि शेवटचा सोमवार (अमावास्यांत महाराष्ट्र); शेवटच्या श्रावणी सोमवारने या पवित्र महिन्याचे भक्तिचक्र पूर्ण होते; कुटुंबे समारोपाची शिवपूजा करून घरातील सर्वांना आणि शेजाऱ्यांना प्रसाद वाटतात,श्रावण का चौथा और अंतिम सोमवार (अमावस्यांत महाराष्ट्र); अंतिम श्रावण सोमवार से इस पवित्र मास का भक्ति चक्र पूर्ण होता है; परिवार समापन की शिव पूजा कर घर के सभी सदस्यों और पड़ोसियों को प्रसाद बांटते हैं,On the final Shravan Somvar make a slightly larger batch of Sabudana Khichdi and Rajgira Ladoo to share with neighbors; sharing prasad at the close of the holy month is an auspicious Maharashtrian tradition,शेवटच्या श्रावणी सोमवारी साबुदाणा खिचडी आणि राजगिरा लाडू थोडे जास्त करा आणि शेजाऱ्यांना वाटा; पवित्र महिन्याच्या सांगतेला प्रसाद वाटणे ही शुभ महाराष्ट्रीय परंपरा आहे,अंतिम श्रावण सोमवार को साबूदाना खिचड़ी और राजगिरा लड्डू थोड़े अधिक बनाएं और पड़ोसियों में बांटें; पवित्र मास के समापन पर प्रसाद बांटना शुभ महाराष्ट्रीय परंपरा है
Aja Ekadashi,2026-09-07,Bhadra Krishna Ekadashi; fasting removes even the most deeply held past karma; also the fourth and final Shravan Somvar in Amavasyant Maharashtra making it a combined Shiva-Vishnu devotion day of special merit,भाद्रपद कृष्ण एकादशी; या उपवासाने अत्यंत खोलवर रुजलेले पूर्वकर्मही नाहीसे होते; अमावास्यांत महाराष्ट्रात हाच श्रावणातील चौथा आणि शेवटचा सोमवार असल्याने शिव आणि विष्णू या दोघांच्या भक्तीचा विशेष पुण्यदायी दिवस,भाद्रपद कृष्ण एकादशी; इस व्रत से अत्यंत गहरे पूर्व कर्म भी नष्ट होते हैं; अमावस्यांत महाराष्ट्र में यही श्रावण का चौथा और अंतिम सोमवार होने से यह शिव और विष्णु दोनों की भक्ति का विशेष पुण्यदायी दिन है,On this final Shravan Ekadashi offer a concluding gratitude puja to both Vishnu and Shiva; prepare a slightly larger prasad batch and distribute to neighbors to share the spiritual merit of this combined observance,श्रावणातील या शेवटच्या एकादशीला विष्णू आणि शिव या दोघांची कृतज्ञतेची समारोप पूजा करा; प्रसाद थोडा जास्त करून शेजाऱ्यांना वाटा आणि या संयुक्त व्रताचे पुण्य वाटून घ्या,श्रावण की इस अंतिम एकादशी पर विष्णु और शिव दोनों की कृतज्ञता की समापन पूजा करें; प्रसाद थोड़ा अधिक बनाकर पड़ोसियों में बांटें और इस संयुक्त व्रत का पुण्य साझा करें
Mangala Gaur,2026-09-08,Fourth and final Tuesday of Shravan; the culminating Mangala Gaur celebration features the most elaborate puja and all-night singing; women perform the 16-item Shodasha Upachar to Goddess Parvati and receive blessings for the year ahead,श्रावणातील चौथा आणि शेवटचा मंगळवार; समारोपाच्या मंगळागौरीत सर्वात विस्तृत पूजा आणि रात्रभर खेळ-गाणी होतात; स्त्रिया पार्वतीदेवीची षोडशोपचार पूजा करून वर्षभरासाठी आशीर्वाद घेतात,श्रावण का चौथा और अंतिम मंगलवार; समापन की मंगला गौरी में सबसे विस्तृत पूजा और रातभर गीत-खेल होते हैं; स्त्रियां पार्वती देवी की षोडशोपचार पूजा कर आने वाले वर्ष का आशीर्वाद लेती हैं,For the final Mangala Gaur prepare the traditional 16-item prasad (16 each of puri; ladoo; modak etc.); start preparation two days ahead and store in airtight dabbas so nothing is rushed on the puja day itself,शेवटच्या मंगळागौरीसाठी पारंपरिक सोळा पदार्थांचा प्रसाद करा (पुरी; लाडू; मोदक असे प्रत्येकी सोळा); तयारी दोन दिवस आधी सुरू करून हवाबंद डब्यांत ठेवा म्हणजे पूजेच्या दिवशी घाई होणार नाही,अंतिम मंगला गौरी के लिए पारंपरिक सोलह पदार्थों का प्रसाद बनाएं (पूरी; लड्डू; मोदक आदि प्रत्येक सोलह); तैयारी दो दिन पहले शुरू कर हवाबंद डिब्बों में रखें ताकि पूजा के दिन जल्दबाजी न हो
Bail Pola,2026-09-11,Shravana Amavasya (end of Shravan for Amavasyant Maharashtra); farmers honour bullocks and cattle for their agricultural contribution; cattle are bathed; decorated and taken in a procession; Puranpoli is made as a special offering for the bulls,श्रावण अमावास्या (अमावास्यांत महाराष्ट्रात श्रावणाची सांगता); शेतकरी बैल आणि गुरांच्या शेतीतील कष्टांचा सन्मान करतात; गुरांना आंघोळ घालून सजवले जाते आणि मिरवणूक काढली जाते; बैलांसाठी खास पुरणपोळीचा नैवेद्य केला जातो,श्रावण अमावस्या (अमावस्यांत महाराष्ट्र में श्रावण की समाप्ति); किसान बैलों और मवेशियों के कृषि योगदान का सम्मान करते हैं; मवेशियों को नहलाकर सजाया जाता है और जुलूस निकाला जाता है; बैलों के लिए विशेष पूरन पोली का नैवेद्य बनाया जाता है,Prepare two batches of Puranpoli on Bail Pola — a finer one for the family and a coarser one for the decorated bullocks; the offering to cattle must be made first before the family sits down to eat,बैलपोळ्याला पुरणपोळीचे दोन घाणे करा — कुटुंबासाठी बारीक आणि सजवलेल्या बैलांसाठी थोडी जाडसर; कुटुंब जेवायला बसण्यापूर्वी आधी बैलांना नैवेद्य दाखवावा,बैल पोला पर पूरन पोली के दो बैच बनाएं — परिवार के लिए महीन और सजे हुए बैलों के लिए थोड़ी मोटी; परिवार के भोजन पर बैठने से पहले पहले बैलों को नैवेद्य अर्पित करना चाहिए
Hartalika Teej,2026-09-13,Bhadra Shukla Tritiya; one day before Ganesh Chaturthi; married women observe a strict waterless fast and worship Goddess Parvati with a sand-idol of Shiva-Parvati; also called Gauri Avahan as the Gauri idol is brought home for Ganesh Chaturthi,भाद्रपद शुक्ल तृतीया; गणेश चतुर्थीच्या एक दिवस आधी; सुवासिनी कडक निर्जळी उपवास करून वाळूच्या शिव-पार्वती मूर्तीची पूजा करतात; गणेश चतुर्थीसाठी गौर घरी आणली जात असल्याने यालाच गौरी आवाहन म्हणतात,भाद्रपद शुक्ल तृतीया; गणेश चतुर्थी से एक दिन पहले; सुहागिन स्त्रियां कठोर निर्जला व्रत रखकर रेत की शिव-पार्वती मूर्ति की पूजा करती हैं; गणेश चतुर्थी के लिए गौरी घर लाई जाती है इसलिए इसे गौरी आवाहन भी कहते हैं,Hartalika Teej is traditionally a nirjala (no water) fast; consult family elders before attempting; for those observing with water prepare all upvas food before sunrise so it is ready when breaking the fast,हरतालिका तीज हा पारंपरिकरीत्या निर्जळी उपवास आहे; करण्यापूर्वी घरातील वडीलधाऱ्यांचा सल्ला घ्या; पाणी घेऊन उपवास करणाऱ्यांनी सूर्योदयापूर्वीच सर्व उपवासाचे पदार्थ तयार ठेवावेत म्हणजे उपवास सोडताना ते तयार असतील,हरतालिका तीज पारंपरिक रूप से निर्जला व्रत है; करने से पहले घर के बुजुर्गों की सलाह लें; जल लेकर व्रत रखने वालों को सूर्योदय से पहले ही सभी उपवास के पदार्थ तैयार रखने चाहिए ताकि व्रत खोलते समय वे तैयार हों
Ganesh Chaturthi,2026-09-14,Bhadra Shukla Chaturthi; the 10-day Ganeshotsav festival begins with the installation of Ganesha idol at home; Maharashtra's grandest festival popularised as a public event by Lokmanya Tilak in 1893; Ukdiche Modak (steamed rice flour dumplings) are the Lord's favourite naivedya,भाद्रपद शुक्ल चतुर्थी; दहा दिवसांच्या गणेशोत्सवाची सुरुवात घरी गणपतीच्या प्रतिष्ठापनेने होते; लोकमान्य टिळकांनी १८९३ साली सार्वजनिक स्वरूप दिलेला महाराष्ट्रातील सर्वात मोठा उत्सव; उकडीचे मोदक हा बाप्पाचा आवडता नैवेद्य,भाद्रपद शुक्ल चतुर्थी; दस दिनों के गणेशोत्सव की शुरुआत घर में गणपति की प्रतिष्ठापना से होती है; लोकमान्य तिलक द्वारा १८९३ में सार्वजनिक रूप दिया गया महाराष्ट्र का सबसे बड़ा उत्सव; उकडीचे मोदक (भाप में पके चावल के आटे के मोदक) बप्पा का प्रिय नैवेद्य है,For Ukdiche Modak add boiling water to rice flour all at once and knead immediately while the dough is hot; this gives a pliable non-sticky dough; shape modak within 20 minutes of mixing and steam immediately,उकडीच्या मोदकांसाठी तांदळाच्या पिठात उकळते पाणी एकाच वेळी घालून पीठ गरम असतानाच लगेच मळा; त्याने उकड मऊ आणि न चिकटणारी होते; मळल्यापासून वीस मिनिटांत मोदक वळून लगेच वाफवा,उकडीचे मोदक के लिए चावल के आटे में खौलता पानी एक ही बार में डालकर आटा गर्म रहते ही तुरंत गूंथें; इससे लोई मुलायम और बिना चिपकने वाली बनती है; गूंथने के बीस मिनट के भीतर मोदक बनाकर तुरंत भाप में पकाएं
Parsva Ekadashi,2026-09-22,Bhadra Shukla Ekadashi; Lord Vishnu turns to his right side (parsva) during Yoga Nidra marking the second phase of Chaturmas; worship with fresh tulsi and lotus flowers is especially beneficial; observed during the 10-day Ganeshotsav period,भाद्रपद शुक्ल एकादशी; योगनिद्रेत असलेले भगवान विष्णू उजव्या कुशीवर (पार्श्व) वळतात आणि चातुर्मासाचा दुसरा टप्पा सुरू होतो; ताजी तुळस आणि कमळ अर्पण करून केलेली पूजा विशेष फलदायी; गणेशोत्सवाच्या दहा दिवसांतच ही एकादशी येते,भाद्रपद शुक्ल एकादशी; योगनिद्रा में लीन भगवान विष्णु दाहिनी करवट (पार्श्व) लेते हैं और चातुर्मास का दूसरा चरण आरंभ होता है; ताजी तुलसी और कमल अर्पित कर की गई पूजा विशेष फलदायी है; यह एकादशी गणेशोत्सव के दस दिनों में ही आती है,Offer tulsi-jal (water with fresh tulsi leaves) to Lord Vishnu on Parsva Ekadashi before cooking your own fast food; this small ritual seals the spiritual merit of the day's fast,पार्श्व एकादशीला स्वतःचा उपवासाचा स्वयंपाक सुरू करण्यापूर्वी भगवान विष्णूला तुळशीजल (ताज्या तुळशीपत्रांचे पाणी) अर्पण करा; या छोट्या विधीने दिवसभराच्या उपवासाचे पुण्य पूर्ण होते,पार्श्व एकादशी पर अपना उपवास का भोजन बनाने से पहले भगवान विष्णु को तुलसी-जल (ताजे तुलसी पत्रों का जल) अर्पित करें; इस छोटे अनुष्ठान से दिनभर के व्रत का पुण्य पूर्ण होता है
Anant Chaturdashi,2026-09-25,Bhadra Shukla Chaturdashi; 10th and final day of Ganeshotsav; grand Ganesh Visarjan immersion processions fill Maharashtra's streets with music and colour; the 14-knot Anant thread is tied for Lord Vishnu; culmination of Maharashtra's biggest festival,भाद्रपद शुक्ल चतुर्दशी; गणेशोत्सवाचा दहावा आणि शेवटचा दिवस; भव्य गणेश विसर्जन मिरवणुकांनी महाराष्ट्रातील रस्ते वाद्ये आणि रंगांनी भरून जातात; भगवान विष्णूसाठी चौदा गाठींचा अनंत दोरा बांधला जातो; महाराष्ट्रातील सर्वात मोठ्या उत्सवाची सांगता,भाद्रपद शुक्ल चतुर्दशी; गणेशोत्सव का दसवां और अंतिम दिन; भव्य गणेश विसर्जन जुलूसों से महाराष्ट्र की सड़कें संगीत और रंगों से भर जाती हैं; भगवान विष्णु के लिए चौदह गांठों वाला अनंत सूत्र बांधा जाता है; महाराष्ट्र के सबसे बड़े उत्सव की परिणति,Prepare the farewell modak naivedya early on Visarjan morning as processions leave by 9 AM; make a small batch the previous evening and reheat by steaming for 5 minutes in a closed vessel,विसर्जनाच्या दिवशी मिरवणुका सकाळी नऊपर्यंत निघत असल्याने निरोपाचा मोदकाचा नैवेद्य लवकर तयार करा; आदल्या संध्याकाळी थोडे मोदक करून ठेवा आणि झाकलेल्या भांड्यात पाच मिनिटे वाफवून गरम करा,विसर्जन के दिन जुलूस सुबह नौ बजे तक निकल जाते हैं इसलिए विदाई का मोदक नैवेद्य जल्दी तैयार करें; एक शाम पहले थोड़े मोदक बनाकर रखें और ढके बर्तन में पांच मिनट भाप देकर गर्म करें
Pitru Paksha Arambh,2026-09-27,Bhadrapada Purnima marks the start of the 16-day Pitru Paksha (Shradh fortnight); offerings of sesame; water and rice balls (pind) are made to ancestors; sattvic food without garlic and onion is observed throughout all 16 days by devoted households,भाद्रपद पौर्णिमेपासून सोळा दिवसांच्या पितृपक्षाला (श्राद्धपक्ष) सुरुवात होते; पूर्वजांना तीळ; पाणी आणि पिंडदान अर्पण केले जाते; श्रद्धाळू कुटुंबे सोळाही दिवस लसूण-कांद्याविना सात्त्विक आहार घेतात,भाद्रपद पूर्णिमा से सोलह दिनों के पितृ पक्ष (श्राद्ध पक्ष) की शुरुआत होती है; पूर्वजों को तिल; जल और पिंडदान अर्पित किया जाता है; श्रद्धालु परिवार सोलहों दिन लहसुन-प्याज रहित सात्त्विक आहार लेते हैं,During all 16 days of Pitru Paksha cook without onion and garlic; avoid non-vegetarian food; a simple sattvic dal-rice-ghee thali daily is the ideal ancestral offering and cleanest kitchen practice,पितृपक्षाच्या सोळाही दिवसांत कांदा-लसूणविरहित स्वयंपाक करा; मांसाहार टाळा; रोज साधी सात्त्विक वरण-भात-तूप ताटली हाच आदर्श पितृनैवेद्य आणि सर्वात शुद्ध स्वयंपाकघरातील आचार आहे,पितृ पक्ष के सोलहों दिन प्याज-लहसुन रहित भोजन बनाएं; मांसाहार से बचें; रोज सादी सात्त्विक दाल-चावल-घी की थाली ही आदर्श पितृ नैवेद्य और सबसे शुद्ध रसोई आचरण है
Indira Ekadashi,2026-10-07,Ashwin Krishna Ekadashi; fasting during Pitru Paksha on this Ekadashi is said to free departed ancestors from negative realms; recommended specifically for those worried about ancestors who may have died in difficult circumstances,आश्विन कृष्ण एकादशी; पितृपक्षातील या एकादशीचा उपवास केल्याने दिवंगत पूर्वजांची दुर्गतीतून मुक्तता होते असे मानले जाते; कठीण परिस्थितीत निधन झालेल्या पूर्वजांची चिंता असणाऱ्यांसाठी हे व्रत विशेषत्वाने सांगितले आहे,आश्विन कृष्ण एकादशी; पितृ पक्ष की इस एकादशी का व्रत करने से दिवंगत पूर्वजों की दुर्गति से मुक्ति होती है ऐसा माना जाता है; कठिन परिस्थितियों में दिवंगत हुए पूर्वजों की चिंता रखने वालों के लिए यह व्रत विशेष रूप से बताया गया है,On Indira Ekadashi during Pitru Paksha offer a glass of water with black sesame to your ancestors in the morning before beginning your own fast; this dual act is considered doubly beneficial,पितृपक्षातील इंदिरा एकादशीला स्वतःचा उपवास सुरू करण्यापूर्वी सकाळी पूर्वजांना काळ्या तिळाचे पाणी अर्पण करा; हे दुहेरी कर्म दुप्पट फलदायी मानले जाते,पितृ पक्ष की इंदिरा एकादशी पर अपना व्रत आरंभ करने से पहले सुबह पूर्वजों को काले तिल मिला जल अर्पित करें; यह दोहरा कर्म दोगुना फलदायी माना जाता है
Mahalaya Amavasya,2026-10-10,Ashwin Krishna Amavasya; final day of Pitru Paksha; Sarva Pitru Amavasya where those who missed individual Shradh dates can perform all ancestral rites on this one day; among the most important days for ancestral offerings in the entire Hindu calendar,आश्विन कृष्ण अमावास्या; पितृपक्षाचा शेवटचा दिवस; सर्वपित्री अमावास्येला ज्यांच्या श्राद्धाची तिथी चुकली असेल त्या सर्व पूर्वजांचे श्राद्ध एकाच दिवशी करता येते; संपूर्ण हिंदू पंचांगातील पितृकार्यासाठीचा सर्वात महत्त्वाचा दिवस,आश्विन कृष्ण अमावस्या; पितृ पक्ष का अंतिम दिन; सर्वपितृ अमावस्या पर जिनकी श्राद्ध तिथि छूट गई हो उन सभी पूर्वजों का श्राद्ध एक ही दिन किया जा सकता है; संपूर्ण हिंदू पंचांग में पितृ कार्य के सबसे महत्वपूर्ण दिनों में से एक,Cook a full ancestral Shradh meal fresh on Mahalaya Amavasya even if other Shradh days were missed; prepare before noon as the Kutup Muhurt (midday window) is the prescribed time for ancestral rites,इतर श्राद्धाचे दिवस चुकले असले तरी महालय अमावास्येला संपूर्ण श्राद्धाचा स्वयंपाक ताजा करा; पितृकार्यासाठी कुतुप मुहूर्त (दुपारची वेळ) सांगितलेला असल्याने दुपारपूर्वीच तयारी करा,अन्य श्राद्ध दिन छूट गए हों तब भी महालय अमावस्या पर संपूर्ण श्राद्ध का भोजन ताजा बनाएं; पितृ कार्य के लिए कुतुप मुहूर्त (दोपहर का समय) निर्धारित है इसलिए दोपहर से पहले तैयारी कर लें
Shardiya Navratri,2026-10-11,Ashwin Shukla Pratipada; Ghatasthapana opens the 9-day Navratri; nine forms of Goddess Durga are worshipped over nine nights; many Maharashtrian women observe an upvas (fruit fast) for all 9 days; the festival culminates on Dussehra on October 20,आश्विन शुक्ल प्रतिपदा; घटस्थापनेने नऊ दिवसांच्या नवरात्रीला सुरुवात होते; नऊ रात्री दुर्गादेवीच्या नऊ रूपांची पूजा केली जाते; अनेक महाराष्ट्रीय स्त्रिया नऊही दिवस फराळी उपवास करतात; २० ऑक्टोबरच्या दसऱ्याने उत्सवाची सांगता होते,आश्विन शुक्ल प्रतिपदा; घटस्थापना से नौ दिनों की नवरात्रि आरंभ होती है; नौ रातों तक दुर्गा देवी के नौ रूपों की पूजा की जाती है; कई महाराष्ट्रीय स्त्रियां नौ दिन फलाहारी उपवास रखती हैं; २० अक्टूबर के दशहरे पर उत्सव संपन्न होता है,Prepare a large batch of Rajgira Ladoos on Navratri Day 1 to use as quick energy snacks during all 9 days; store in an airtight container and they stay fresh throughout the entire festival,नवरात्रीच्या पहिल्या दिवशी राजगिरा लाडू भरपूर करून ठेवा म्हणजे नऊही दिवस झटपट ऊर्जेसाठी उपयोगी पडतील; हवाबंद डब्यात ठेवल्यास ते संपूर्ण उत्सवभर ताजे राहतात,नवरात्रि के पहले दिन राजगिरा लड्डू अधिक मात्रा में बनाकर रखें ताकि नौ दिन झटपट ऊर्जा के लिए काम आएं; हवाबंद डिब्बे में रखने पर वे पूरे उत्सव भर ताजे रहते हैं
Maha Navami,2026-10-19,Ashwin Shukla Navami; 9th and final day of Navratri; Maha Navami puja to Goddess Saraswati; Ayudha Puja (worship of tools and vehicles) is performed; Kanya Puja honours young girls as the Goddess; the Navratri upvas concludes with an evening feast,आश्विन शुक्ल नवमी; नवरात्रीचा नववा आणि शेवटचा दिवस; महानवमीला सरस्वतीदेवीची पूजा केली जाते; आयुधपूजा (अवजारे आणि वाहनांची पूजा) केली जाते; कन्यापूजनात लहान मुलींना देवीचे रूप मानून पूजले जाते; संध्याकाळच्या भोजनाने नवरात्रीचा उपवास सोडला जातो,आश्विन शुक्ल नवमी; नवरात्रि का नौवां और अंतिम दिन; महानवमी पर सरस्वती देवी की पूजा होती है; आयुध पूजा (औजारों और वाहनों की पूजा) की जाती है; कन्या पूजन में छोटी बालिकाओं को देवी रूप मानकर पूजा जाता है; संध्या के भोजन से नवरात्रि का व्रत खोला जाता है,For Kanya Puja on Maha Navami prepare the traditional three-item thali — halwa; puri and kala chana (black chickpea curry); these three together are the canonical Navratri Kanya bhog in Maharashtra,महानवमीच्या कन्यापूजनासाठी पारंपरिक तीन पदार्थांचे ताट करा — शिरा; पुरी आणि काळे चणे; महाराष्ट्रात हे तीनच पदार्थ नवरात्रीच्या कन्याभोगाचे शास्त्रशुद्ध रूप मानले जातात,महानवमी के कन्या पूजन के लिए पारंपरिक तीन पदार्थों की थाली बनाएं — हलवा; पूरी और काला चना; महाराष्ट्र में यही तीन नवरात्रि के कन्या भोग का शास्त्रीय रूप माने जाते हैं
Dussehra,2026-10-20,Ashwin Shukla Dashami; Vijayadashami celebrates Goddess Durga's victory and Lord Rama's over Ravana; in Maharashtra apta leaves (sone ki patti) are exchanged as symbolic gold and the Shami tree is worshipped; a grand feast breaks the Navratri fast,आश्विन शुक्ल दशमी; विजयादशमीला दुर्गादेवीचा विजय आणि प्रभू रामांचा रावणावरील विजय साजरा होतो; महाराष्ट्रात आपट्याची पाने सोने म्हणून एकमेकांना दिली जातात आणि शमीच्या वृक्षाची पूजा केली जाते; भव्य भोजनाने नवरात्रीचा उपवास सोडला जातो,आश्विन शुक्ल दशमी; विजयादशमी पर दुर्गा देवी की विजय और प्रभु राम की रावण पर विजय मनाई जाती है; महाराष्ट्र में आपटा के पत्ते सोने के रूप में एक-दूसरे को दिए जाते हैं और शमी वृक्ष की पूजा की जाती है; भव्य भोजन से नवरात्रि का व्रत खोला जाता है,Soak curd in muslin the previous night to make thick chakka for Shrikhand; the longer it drains (8-12 hours) the thicker and creamier the final shrikhand will be; add saffron only after draining,श्रीखंडासाठी घट्ट चक्का करण्यासाठी आदल्या रात्री दही मलमलच्या फडक्यात बांधून टांगा; जितका जास्त वेळ पाणी निथळेल (आठ ते बारा तास) तितके श्रीखंड घट्ट आणि मलईदार होते; केशर पाणी निथळल्यावरच घाला,श्रीखंड के लिए गाढ़ा चक्का बनाने हेतु एक रात पहले दही मलमल के कपड़े में बांधकर टांगें; जितनी देर पानी निथरेगा (आठ से बारह घंटे) उतना ही श्रीखंड गाढ़ा और मलाईदार बनेगा; केसर पानी निथरने के बाद ही डालें
Pasankusa Ekadashi,2026-10-21,Ashwin Shukla Ekadashi; comes the day after Dussehra celebrations; fasting on this Ekadashi after the Navratri feast week helps restore the body's digestive balance; Lord Vishnu is worshipped with tulsi and lotus flowers,आश्विन शुक्ल एकादशी; दसऱ्याच्या उत्सवानंतर लगेच दुसऱ्या दिवशी येते; नवरात्रीच्या भोजनाच्या आठवड्यानंतर या एकादशीचा उपवास पचनसंस्थेचा तोल सावरण्यास मदत करतो; तुळस आणि कमळ अर्पण करून भगवान विष्णूची पूजा केली जाते,आश्विन शुक्ल एकादशी; दशहरे के उत्सव के ठीक अगले दिन आती है; नवरात्रि के भोजन सप्ताह के बाद इस एकादशी का व्रत पाचन का संतुलन लौटाने में सहायक होता है; तुलसी और कमल अर्पित कर भगवान विष्णु की पूजा की जाती है,After the rich Dussehra feast keep Pasankusa Ekadashi upvas light and digestive — just sabudana khichdi and fruits rather than fried vadas; this gentle fast helps the gut reset after the festival week,दसऱ्याच्या जड जेवणानंतर पाशांकुशा एकादशीचा उपवास हलका आणि पचायला सोपा ठेवा — तळलेल्या वड्यांऐवजी फक्त साबुदाणा खिचडी आणि फळे; या सौम्य उपवासाने उत्सवाच्या आठवड्यानंतर पोट पूर्ववत होते,दशहरे के भारी भोजन के बाद पाशांकुशा एकादशी का व्रत हल्का और सुपाच्य रखें — तली वड़ों के बजाय केवल साबूदाना खिचड़ी और फल; यह कोमल व्रत उत्सव सप्ताह के बाद पेट को पूर्ववत करने में मदद करता है
Kojagiri Pournima,2026-10-26,Ashwin Purnima (Sharad Purnima); Goddess Lakshmi descends asking 'Ko Jagarti?' (who is awake?) and blesses those who stay awake all night; the moon's rays on this night infuse medicinal properties into any food left under the open sky; one of Maharashtra's most beloved festivals,आश्विन पौर्णिमा (शरद पौर्णिमा); लक्ष्मीदेवी 'को जागर्ति?' (कोण जागे आहे?) असे विचारत पृथ्वीवर येते आणि रात्रभर जागणाऱ्यांना आशीर्वाद देते; या रात्री उघड्या आकाशाखाली ठेवलेल्या अन्नात चंद्रकिरणांमुळे औषधी गुण उतरतात; महाराष्ट्रातील सर्वात लाडक्या सणांपैकी एक,आश्विन पूर्णिमा (शरद पूर्णिमा); लक्ष्मी देवी 'को जागर्ति?' (कौन जाग रहा है?) पूछती हुई पृथ्वी पर आती हैं और रातभर जागने वालों को आशीर्वाद देती हैं; इस रात खुले आकाश के नीचे रखे भोजन में चंद्रकिरणों से औषधीय गुण आ जाते हैं; महाराष्ट्र के सबसे प्रिय त्योहारों में से एक,Reduce full-cream milk by one-third before adding saffron soaked in warm milk; place the vessel under open sky after puja and consume the moon-bathed Masala Doodh the next morning for maximum benefit,फुल क्रीम दूध एक तृतीयांश आटवा आणि मग कोमट दुधात भिजवलेले केशर घाला; पूजेनंतर भांडे उघड्या आकाशाखाली ठेवा आणि चंद्रप्रकाशात राहिलेले मसाला दूध दुसऱ्या दिवशी सकाळी प्यायल्यास सर्वाधिक लाभ होतो,फुल क्रीम दूध एक तिहाई तक गाढ़ा करें और फिर गुनगुने दूध में भिगोया केसर डालें; पूजा के बाद बर्तन खुले आकाश के नीचे रखें और चांदनी में रखा मसाला दूध अगली सुबह पीने से सर्वाधिक लाभ होता है
Rama Ekadashi,2026-11-05,Kartik Krishna Ekadashi; the day before Dhanteras; named after Goddess Rama (Lakshmi) who is especially propitiated before Diwali; observing this fast is considered essential Diwali spiritual preparation for Lakshmi's welcome,कार्तिक कृष्ण एकादशी; धनत्रयोदशीच्या आदल्या दिवशी येते; दिवाळीपूर्वी विशेषत्वाने पूजल्या जाणाऱ्या रमा (लक्ष्मी) देवीवरून हे नाव पडले; लक्ष्मीच्या स्वागतासाठी हा उपवास ही दिवाळीची आवश्यक आध्यात्मिक तयारी मानली जाते,कार्तिक कृष्ण एकादशी; धनतेरस से एक दिन पहले आती है; दिवाली से पूर्व विशेष रूप से पूजी जाने वाली रमा (लक्ष्मी) देवी पर यह नाम पड़ा; लक्ष्मी के स्वागत हेतु यह व्रत दिवाली की आवश्यक आध्यात्मिक तैयारी मानी जाती है,Rama Ekadashi is a good day to complete advance Faral dough preparations (chakli dough; karanji filling) that need rest time; the fast keeps you focused and steady while the kitchen work is done between puja times,फराळाच्या ज्या तयारीला मुरण्यासाठी वेळ लागतो (चकलीची भाजणी; करंजीचे सारण) ती रमा एकादशीला करून ठेवणे सोयीचे; उपवासामुळे मन एकाग्र राहते आणि पूजेच्या वेळांमध्ये स्वयंपाकघरातील काम शांतपणे होते,फराल की जिन तैयारियों को रखने का समय चाहिए (चकली का आटा; करंजी का भरावन) वे रमा एकादशी पर कर लेना सुविधाजनक है; व्रत से मन एकाग्र रहता है और पूजा के समय के बीच रसोई का काम शांति से हो जाता है
Dhanteras,2026-11-06,Kartik Krishna Trayodashi; birthday of Dhanvantari (god of Ayurveda); gold; silver and new utensils are bought for prosperity; the first lamps of Diwali are lit at sunset; in Maharashtra coriander seeds (dhana) are offered as the traditional prasad,कार्तिक कृष्ण त्रयोदशी; आयुर्वेदाचे देव धन्वंतरी यांचा जन्मदिवस; भरभराटीसाठी सोने; चांदी आणि नवीन भांडी खरेदी केली जातात; सूर्यास्ताला दिवाळीचे पहिले दिवे लावले जातात; महाराष्ट्रात धने (धना) हा पारंपरिक प्रसाद अर्पण केला जातो,कार्तिक कृष्ण त्रयोदशी; आयुर्वेद के देव धन्वंतरि का जन्मदिन; समृद्धि के लिए सोना; चांदी और नए बर्तन खरीदे जाते हैं; सूर्यास्त पर दिवाली के पहले दीये जलाए जाते हैं; महाराष्ट्र में धनिया (धना) पारंपरिक प्रसाद के रूप में अर्पित किया जाता है,Roast coriander seeds lightly in ghee before mixing with jaggery for the Dhanvantari prasad; this is the unique Maharashtrian Dhanteras prasad tradition; distribute small packets to all family members after puja,धन्वंतरी प्रसादासाठी धने तुपात हलकेच भाजून मग गुळात मिसळा; ही महाराष्ट्राची खास धनत्रयोदशीची प्रसादपरंपरा आहे; पूजेनंतर घरातील सर्वांना छोट्या पुड्या वाटा,धन्वंतरि प्रसाद के लिए धनिया घी में हल्का भूनकर फिर गुड़ में मिलाएं; यह महाराष्ट्र की विशिष्ट धनतेरस प्रसाद परंपरा है; पूजा के बाद घर के सभी सदस्यों को छोटी पुड़ियां बांटें
